No,NAMA,JUDUL,ABSTRAK,label
23,Cahyo Budi Prayogo,Membangun Private Storage Menggunakan Layanan Owncluod Dengan Platform As A Service (Studi Kasus :Hotel Sumo) ,"Teknologi cloud storage dapat menjadi solusi untuk mengatasi permasalahan penyimpanan data pada komputer yang sering digunakan oleh banyak orang. Salah satunya adalah owncloud yang merupakan sofneare open source, yang berarti siapapun dapat menggunakan secara gratis dan mengubah isi dari layanan tersebut. Penggunaan layanan owneloud sebagai private storage yang akan digunakan pada Hotel Sumo, dapat memberikan efesiensi waktu dalam bekerja. Kegiatan simpan data dan sharing data yang dilakukan admin masih menggunakan flashdisk, harddisk ekstermal, dan kirim e-mail. Admin yang bekerja pada Hotel Sumo akan memiliki akses kedalam ownecloud setelah administrator membuat user untuk admin. Akses owncloud menggunakan browser yang ada pada komputer yang digunakan admin. Administrator owncloud bisa membuat user dan menentukan kapasitas penyimpanan yang bisa digunakan oleh admin. Kegiatan simpan data, dan sharing data menggunakan owncloud akan lebih efisien karena tidak membutuhkan waktu yang lama. Kata kunci: Orencloud Private Storage, Administrator, User.",JK
24,Muhammad Rifqy Luthfan,Monitoring Keamanan Rumah Menggunakan Raspberry Pi Berbasis Cloud Storage Dan Sms Gateway,"Untuk menghindari terjadinya pencurian pada rumah tinggal dibutuhkan pengawasan selama 24 jam. Keterbatasan waktu yang ada membuat sulit untuk selalu mengawasi kondisi rumah. Oleh karena itu, dibutuhkan sebuah sistem yang mampu mengawasi kondisi rumah. Pin GPIO pada Raspberry Pi memungkinkan untuk dikembangkan pada sistem keamanan rumah. Dalam penelitian ini menggunakan sensor PIR (Passive Infra Red) untuk mendeteksi gerak pada tubuh manusia, buzzer sebagai alarm suara ketika Raspberry pi menerima sinyal dari sensor PIR, serta webcam untuk merekam keadaan rumah cukup untuk monitoring keamanan rumah. Untuk mengetahui informasi secara langsung menggunakan alat modul gsm sebagai informasi langsung berupa sms gateway dan cloud storage untuk penyimpanan file video. Pesan berupa teks yang berisi link video rekaman akan dikirim ke pengguna yang telah terdaftar dan video akan tampil pada halaman web. Kata kunci: Raspberry pi, Cloud Storage, Sms Gateway, sensor PIR, Buzzer, Webcam, modul GSM",JK
25,Welly Yuliandri,Aplikasi Smart Home Otomatis Berbasis Android  Menggunakan Mini Pc  Rasphiberry Pi3,"Teknologi berkembang sangat pesat salah satunya pemanfaatan teknologi untuk kontrol peralatan eletronik. Kontrol peralatan elektronik dapat dilakukan dengan aplikasi rumah pintar (smarthome) pengendali peralatan elektronik rumah tangga berbasis android dan dapat di kontrol dari jauh. Aplikasi rumah pintar (smarthome) ini dapat mempermudah pengguna dalam mengontrol peralatan elektronik rumah tangga seperti kipas angin dan lampu sehingga dapat mengurangi adanya pemborosan listrik ketika pengguna lupa untuk mematikan peralatan elektronik rumah tangga, baik ketika sedang berada diluar rumah atau dimanapun pengguna berada. Aplikasi ini menggunakan Raspberry Pi yang berfungsi sebagai server yang akan menghubungkan antara hardware dan software yang dikontrol melalui Android sebagai interface yang digunakan pengguna untuk memasukan input dan menghasilkan output. Sistem yang dirancang untuk mengontrol aktif dan non-aktif perangkat seperti kipas angin dan lampu ini dirancang dengan menggunakan LXTerminal pada raspbian, bahasa Python dan Android Studio sebagai sarana untuk membuat perangkat lunaknya. Pengujian dilakukan dengan menampilkan beberapa menu pada display aplikasi disertai dengan meletakkan seluruh perangkat keras yang sudah disusun dengan baik. Hasil pengujian menunjukkan bahwa perangkat elektronik seperti kipas angin dan lampu berhasil dilakukan pengontrolannya (aktif dan non-aktif).
Kata kunci : Smarthome, Kontrol peralatan eletronik, Perangkat Elektronik, Raspberry, LXTerminal",JK
26,Priadhana Edi Kresnha,Pengendalian Kran Air Dengan Menggunakan Aplikasi Telegram Berbasis Raspberry,"Smart home system adalah sistem rumah pintar berbasis komputer yang mengendalikan secara otomatis dan terprogram melalui komputer, pada gedung atau tempat tinggal. Sistem digunakan untuk mengendalikan hampir semua perlengkapan dan peralatan rumah tangga, mulai dari pengaturan tata lampu hingga ke berbagai alat-alat rumah tangga, seperti kran air, kontrol air bak mandi.  yang perintahnya dapat dilakukan dengan menggunakan teks/command, suara, sinar infra merah, atau melalui kendali jarak jauh (remote), sehingga pekerjaan rumah lebih efesien dan menghemat pemakaian listrik .  Alat atau sistem ini dapat terhubung dengan smartphone, untuk mengendalikan kran air secara otomatis. Apliakasi yang digunakan pada smartphone adalah telegram, yang telah terhubung ke raspberry sebagai otak dari jalanya sistem. Raspberry yang diprogram dapat mengendalikan kran air jarak jauh (remote) agar dapat memastikan kondisi air, dengan perlatan tambahan seperti relay , limitswitch dan plampung. Raspberry sering disingkat dengan nama Raspi, adalah komputer papan tunggal (single-board circuit; SBC) yang seukuran dengan kartu kredit yang dapat digunakan untuk menjalankan program yang telah saling terhubung dengan beberapa perangkat, seperti relay sebagai komponen elektro  mekanik yang digunakan untuk mengoprasikan seperangkat kontak saklar dan limit swicth sebagai pemutus arus (saklar). Pelampung yang terhubung dengan limit switch telah dirancang sebagai alat pengukur  tinggi air  yang digantung di tengah-tengah tandon. Kata Kunci : smarthome system,  raspberry pi 3 model B, telegram, relay. ",JK
27,Abdul Faqih,Membangun Mail Server Untuk Aplikasi Npr (Network Problem Report) Menggunakan Command Line Interface Berbasis Linux Debian,"NPR (Network Problem Report) adalah aplikasi yang dibuat oleh PT. Tangara Mitrakom yang berfungsi sebagai laporan keluhan gangguan pelanggan terhadap jaringan yang disewakan oleh PT. Tangara Mitrakom. Aplikasi NPR digunakan oleh operator jaringan untuk menyimpan laporan secara komputerisasi dan dapat membuat trouble ticket yang dikirimkan kepada teknisi Trouble Ticket adalah surat gangguan mengenai jaringan pelanggan yang terjadi masalah dan harus segera dikunjungi oleh teknisi. Proses operator mengirim trouble ticket kepada teknisi terlalu lama karena file trouble ticket harus didownload terlebih dahulu, mengirim email menggunakan email luar yaitu google dan harus terhubung pada internet. Proses pengiriman email trouble ticket bisa dipercepat apabila pengiriman email trouble ticket bisa dilakukan langsung dari Aplikasi NPR dan tidak tergantung pada koneksi internet. Solusinya adalah membuat mail server local sendiri yang dihubungkan pada aplikasi NPR serta menambahkan menu pengiriman email trouble ticket pada aplikasi NPR. Mail server adalah komputer yang terdapat didalamnya aplikasi MTA (Mail Transfer Agent) yang akan menerima email masuk dari pengguna lokal (orang-orang dalam satu domain) dan jarak jauh pengirim dan meneruskan email keluar untuk pengiriman. Mail server dapat dibuat menggunakan sistem operasi Debian dengan cara command line interface (CLI). Server dibuat menggunakan CLI agar server dapat berkerja secara optimal dan cepat dalam proses konfigurasi. Keywords : Network Problem Report, Web PHP, Mail Transfer Agent, Mail server, Email, Command Line Interface, Trouble Ticket",JK
28,Abdul Afif Fadhilah,Implementasi Generate Voucher Hotspot Dengan Batasan Waktu (Time Based) Menggunakan User Manager Di Mikrotik,"Perkembangan teknologi saat ini yang semakin pesat membuat sebuah informasi dibutuhkan dengan cepat. Menyampaikan informasi atau kabar yang dulunya menggunakan media surat melalui kantor POS sekarang sudah mulai beralih ke Email (Electronic Mail). Keuntungan sistem Electronic Mail atau email bagi penggunanya, diantaranya dapat mengirim surat keberapa alamat dalam satu kali kirim, menyimpan setiap informasi atau file, dan mampu mentransmisi berbagai format dokumen. Berbagai peran yang dapat dilakukan oleh sistememail tersebut tentunya tidak lepas dari peran software yang mampu menangani proses pengiriman maupun penerimaan sebuah pesan dari atau ke seseorang (user) yaitu Mail Server. MTA (Mail Transfer Agent) metode mail server yang bertugas untuk menangani lalu lintas penerimaan dan pengiriman email dalam suatu sistem jaringan komputer. Oleh karena itu diperlukan Pembuatan mail server berbasis linux yang terkenal free, handal, stabil dalam menangani sebagai fungsi server yang mendukung pembuatan alamat domain yang bersifat open source, penggunaan database dengan kapasitas media penyimpanan yang bisa diatur sesuai kebutuhan dan kemanan data akun privasi yang cukup baik dari software MTA (Mail Transfer Agent) sebelumnya. Kata Kunci: Mail, Mail Server, MTA (Mail Transfer Agent), Linux, Server .",JK
29,Danang Tri Atmaja,Notifikasi Adanya Serangan Pada Jaringan Komputer Dengan Mengirim Pesan Melalui Aplikasi Telegram Dan Kontrol Server,"Server menjadi hal yang perlu mendapat perhatian lebih mengenai tingkat keamananya. Server yang memiliki celah keretanan keamanan pada server dapat dimanfaatkan oleh pihak-pihak yang tidak bertanggung jawab [1]. Administrator harus memastikan bahwa sistem benar-benar aman, salah satu cara menjaga keamanan server adalah dengan pendeteksian intrusi yang dianggap berbahaya menggunakan Intrusion Detection System (IDS). Sistem pendeteksian intrusi dibangun berdasarkan aturan yang telah disimpan dalam sebuah database (signature-based). Snort merupakan salah satu perangkat lunak yang berfungsi untuk mengetahui adanya intrusi. Paket-paket data yang melalui lalu lintas jaringan akan dianalisis terlebih dahulu. Paket-paket data yang terdeteksi sebagai intrusi akan memincu alert yang kemudian disimpan dalam file log. Dengan begitu, administrator dapat mengetahui intrusi yang terjadi pada server, serta adanya aplikasi instant messaging dapat membantu administrator untuk memperoleh pemberitahuan secara realtime dan melakukan kontrol pada server secara realtime, salah satunya menggunakan aplikasi Telegram selain administrator mendapatkan informasi singkat dan laporan notifikasi adanya percobaan intrusi pada server, administrator juga dapat melakukan kontrol terhadap server secara realtime. Kata kunci : IDS (Intrusion Detection System), Snort, Telegram, Bot Telegram, Percobaan Intrusi",JK
30,Edi Gunawan,Perancangan High Availability Server Untuk Web Portal Dengan Ubuntu ,"Penggunaan aplikasi berbasis web sekarang ini mulai berkembang pesat seiring kemajuan teknologi.
Semakin tinggi tingkat kebutuhan suatu aplikasi maka server aplikasi dituntut untuk mempunyai
ketersediaan yang tinggi (High Availability). Ketersediaan yang tinggi tersebut harus mempunyai performa
yang handal agar dapat menangani banyak request dan mempunyai up time yang tinggi. High Availability
adalah karakterisrik suatu sistem yang berkaitan dengan ketersedian informasi. Dalam sistem High
Availability, redundansi dan failover merupakan hal yang paling penting untuk menjaga agar selalu tersedia
(Available). Failover berfungsi bila salah satu server mati secara otomatis akan ditangani server yang
bertindak sebagai backup. Sedangkan redundansi digunakan untuk membuat beberapa jalur untuk
mengakses sebuah resource, jalur tersebut dapat digunakan secara bersamaan atau bergantian tergantung
konfigurasi yang diberikan. Untuk mengatasi replikasi ini bisa digunakan sebagai sistem atau server dimana
ada server yang berfungsi sebagai server backup atau cluster server. Fungsi backup server menyediakan
backup sistem jika server utama gagal dalam menjalankan layanan dimana proses pemulihan harus
dijalankan sebagai server failover. Konsep server cluster failover adalah membuat satu server berjalan
sebagai master server atau server utama dan server lainnya dijalankan sebagai server active atau server
backup, bila pada kondisi normal, semua service dan request berjalan pada master server. Tapi ketika server
utama gagal atau mati, semua permintaan dan servis akan diambil alih oleh server backup.
Kata kunci : High Availability, Failover, Redudansi Database, Webserver",JK
31,Muhamad Nur Arifin,Desain Dan Implementasi Log Event Management Server Menggunakan Elasticsearch Logstash Kibana (Elk Stack),"Penggunaan server yang harus berjalan terus menerus selama 24 jam dan services yang berjalan menghasilkan sebuah log yang cukup banyak. Hal ini mengharuskan seorang sistem administrator dalam pengecekannya masih harus berinteraksi langsung dengan server tersebut. Dalam penelitian ini bermaksud untuk melakukan suatu perancangan untuk membangun Log Event Management Server menggunakan ELK Stack (Elasticsearch Logstash Kibana) yang dapat memudahkan dalam membaca sekaligus menganalis log services pada server. Implementasi Log Event Mamagement Server dalam penelitian kali ini menggunakan CentOS 7 Server, dan Ubuntu 14.04 sebagai server client dengan SSH services yang terpasang. Dari hasil pengujian ELK Stack sebagai Log Event Management Server yang telah dibangun, menunjukan bahwa semua log services SSH yang terjadi pada server client dapat dikirimkan secara realtime ke server utama ELK Stack sekalipun isi file log pada server client tersebut dihapus. Kata kunci: Server, Log, ELK Stack, SSH Services.",JK
32,Sudirman,Aplikasi Dial Pada Mini Pc Untuk Voip (Voice Over Internet Protokol),"Telepon sebagai salah satu alat komunikasi sangat mendukung guna berjalannya suatu pekerjaan. Komunikasi yang baik dapat diraih dengan kualitas media komunikasi yang berkualitas, effisien, dan ekonomis. Mini Server VoIP dan Aplikasi Dial adalah media gateway telepon dan aplikasi telepon yang telah ada selama beberapa dekade namun banyak sekali permasalahan yang ditemukan ketika komunikasi sedang berjalan seperti suara kresek dan suara satu arah saja, dari segi biaya Server VoIP Konevsional memakan banyak biaya untuk installasi dan lisensi. Beberapa tahun belakang ini telah lahir inovasi baru yaitu Mini Server VoIP dan Aplikasi Dial. Mini VoIP Server dan Aplikasi Dial merupakan salah satu inovasi dari teknologi VoIP, Mini Server VoIP dan Aplikasi Dial pada era ini telah berkembang menjadi teknologi terkini. Keunggulan dalam penelitian Mini Server VoIP dan Aplikasi Dial bersifat Open Source, sehingga dimana semua orang bisa menggunakannya secara bebas mengeksekusi, bebas biaya serta dapat di kembangkan lebih baik dalam kegunaan fungsinya. Fungsi Mini Server VoIP dan Aplikasi Dial adalah untuk menyambungkan panggilan telepon, hanya saja tidak lagi harus menggunakan telepon analog, namun menggunakan IP Phone dan Aplikasid Dial (Softphone). Aplikasi Dial adalah aplikasi telepon yang dapat ditanam baik di komputer maupun smartphone. Untuk media jaringannya dapat melalui kabel UTP RJ45 dan Wirelles. Mini Server VoIP dan Aplikasi Dial memiliki beberapa fitur kompresi suara guna menyesuaikan bandwith yang tersedia sehingga kualitas suara pada saat komunikasi tetap terjaga. Mini Server VoIP juga memiliki fitur monitoring dari tahap pengguna ingin mendaftar nomor ektensi, melakukan panggilan hingga selesai melakukan panggilan, semua termonitoring secara real time dan terdata pada file CDR yang tersimpan pada Mini Server VoIP. Kata Kunci : Mini Server VoIP dan Aplikasi Dial, CODEC, softphone, smartphone, komputer jaringan",JK
33,Wahyu Nurkholis,Perancangan Infrastruktur Jaringan Dan Implementasi Keamananakun Website Terhadap Sniffing Berbasis Open Secure Socket Layer  Pada Linux Server,"Keamanan akun website menjadi perhatian serius di zaman sekarang. Terbukti semakin banyaknya kasus pencurian data dengan berbagai teknik hacking. Salah satu teknik hacking adalah sniffing. Pelakunya bisa disebut Sniffer. Sniffer dapat mengetahui password dari akun suatu website. Akun website terbagi menjadi 2 yaitu admin dan member. Apabila password akun tersebut dapat dilihat oleh sniffer, maka akan mudahnya privasi data dicuri atau diubah sesuai keinginan sniffer. Fokus keamanan akun ini terletak pada protokol yang digunakan untuk request data. Secure Socket Layer (SSL) menjadi protokol paling akan aman. Protokol ini apabila telah diterapkan di suatu website, maka untuk mengaksesnya dengan Hypertext Transfer Protocol Secure (HTTPS). Implementasi SSL dilakukan pada Web Server. Web server yang sudah menerapkan SSL, maka otomotis website yang ada di server tersebut bisa lebih aman. Untuk itu, fokus keamanan akun website berada pada protocol yang diakses user ke server. Sertifikat SSL merupakan suatu sertifikat digital yang mengotentikasi identitas website dan mengenkripsi informasi yang dikirim ke server. Sertifikat SSL inilah yang akan mengamankan akun website. Enkripsi SSL adalah 128 bit. Diharapkan dengan SSL, suatu akun website dapat aman dari serangan sniffing.
Kata Kunci: Secure Socket Layer, Hypertext Transfer Protocol Secure, Enkripsi, Sniffing, Sniffer.",JK
34,Zaid Abdillah,Pembuatan Mail Server Berbasis Linux Menggunakan Mta (Mail Transfer Agent),"Perkembangan teknologi saat ini yang semakin pesat membuat sebuah informasi dibutuhkan dengan cepat. Menyampaikan informasi atau kabar yang dulunya menggunakan media surat melalui kantor POS sekarang sudah mulai beralih ke Email (Electronic Mail). Keuntungan sistem Electronic Mail atau email bagi penggunanya, diantaranya dapat mengirim surat keberapa alamat dalam satu kali kirim, menyimpan setiap informasi atau file, dan mampu mentransmisi berbagai format dokumen. Berbagai peran yang dapat dilakukan oleh sistememail tersebut tentunya tidak lepas dari peran software yang mampu menangani proses pengiriman maupun penerimaan sebuah pesan dari atau ke seseorang (user) yaitu Mail Server. MTA (Mail Transfer Agent) metode mail server yang bertugas untuk menangani lalu lintas penerimaan dan pengiriman email dalam suatu sistem jaringan komputer. Oleh karena itu diperlukan Pembuatan mail server berbasis linux yang terkenal free, handal, stabil dalam menangani sebagai fungsi server yang mendukung pembuatan alamat domain yang bersifat open source, penggunaan database dengan kapasitas media penyimpanan yang bisa diatur sesuai kebutuhan dan kemanan data akun privasi yang cukup baik dari software MTA (Mail Transfer Agent) sebelumnya. Kata Kunci: Mail, Mail Server, MTA (Mail Transfer Agent), Linux, Server .",JK
35,Irvan Angga Febry Pradana,Aplikasi Absensi Keterlambatan Bus Jemputan Menggunakan Rfid,"PT. TD Automotive Compressor Indonesia bergerak di bidang automotive yang menjual sparepart compressor untuk kendaraan mobil. Untuk system absensi karyawan di PT TD Automotive Compressor Indonesia sudah otomatis menggunakan RFID dan diolah oleh program dan server AS400. Pada PT TD Automotive Compressor Indonesia mempunyai kebijakan pemutihan absensi untuk karyawan yang menggunakan bus jemputan, akan tetapi system yang digunakan untuk absensi keterlambatan bus jemputan masih dilakukan secara manual dengan mengisi form koreksi absen bus jemputan dan di input manual ke program dan server AS400 oleh admin HR. Hal ini menimbulkan banyak masalah seperti banyaknya pemalsuan absensi karyawan yang terlambat, input manual yang dikerjakan admin HR yang membutuhkan waktu hingga 7 jam, dan lain-lain. Dengan dasar permasalahan tersebut maka dibuatlah aplikasi keterlambatan bus jemputan yang dapat menginput karyawan terlambat yang menggunakan transportasi bis jemputan. Media penginput menggunakan RFID dengan rader Mesin TKS, kemudian aplikasi mengirim data langsung ke server AS400. Data yang sudah masuk ke server AS400 diolah dan ditampilkan ke aplikasi lotus notes. Dengan adanya aplikasi ini, masalah-masalah diatas dapat terpecahkan. Kata Kunci : Absent, AS400, Web, Aplikasi.",JK
36,Murti Setto Hidayani,Pengembangan Sistem Perbaikan Ejaan Bahasa Indonesia Menggunakan Edit Distance,"Manusia memiliki kemampuan untuk berkomunikasi dengan manusia lainnya, baik secara lisan maupun tertulis. Komunikasi secara tertulis merupakan solusi untuk berkomunikasi jarak jauh namun sering kali terjadi kesalahan penulisan ejaan kata. Hal tersebut dapat menyebabkan perbedaan paham dalam mengartikan teks tersebut. Tujuan dari penelitian ini yaitu membuat sistem yang dapat memperbaiki kesalahan penulisan ejaan kata dalam Bahasa Indonesia. Metode yang digunakan untuk mendeteksi kesalahan penulisan ejaan yaitu dengan Edit Distance. Pada metode ini digunakan data berupa list kata yang diambil dari Kamus Besar Bahasa Indonesia edisi IV. Hasil pengujian dari 50 teks didapatkan akurasi untuk mendeteksi kesalahan sebesar 100% namun untuk memperbaiki kata dengan tepat hanya sebesar 84%. Kata Kunci: Penulisan, Perbaikan Ejaan, Edit Distance",AI
37,Muhammad Reza Yudha,"Aplikasi Penagihan Dana Kredit Tanpa Agunan Menggunakan Autodial Asterisk (Centos) Dan NaÃ¯ve Bayes (Studi Kasus Pt. Bank Qnb Indonesia, Divisi : Collection)","Seiring dengan kemajuan sistem informasi saat ini, berbagai permasalahan yang ada dapat diselesaikan dengan memanfaatkan sistem informasi. Sistem Informasi tersebut dapat membantu permasalahan manusia. Sistem Informasi di dalam dunia perbankan memegang peranan penting salah satunya adalah sistem informasi penagihan dana pinjaman. Pembagian data dari supervisor ke Deskcollecetion masih kurang akurat sehingga sering terjadi selisih antara jumlah data yang dibagikan dengan data yang diklasifikasikan. Salah satu solusi pengklasifikasian data dapat digunakan dengan Algoritma NaÃ¯ve Bayes. Data yang diklasifikasikan ada 3 yaitu bucket 30, 60, dan 90, pada penelitian ini digunakan 30 data latih. Salah satu solusi untuk mengatasi telepon manual adalah dengan autodial Asterisk yang berbasis SIP yang berfungsi untuk membuat dan mengatur autodial telephone yang berbasis VoIP telephony. Berdasarkan hasil penelitian yang dilakukan, pada pembuatan aplikasi penagihan dana kredit tanpa agunan menggunakan autodial asterisk untuk memudahkan dalam melakukan telepon data debitur yang menunggak, sehingga memudahkan dalam setiap pekerjaan divisi collection secara cepat, tepat, dan akurat. Kata Kunci : Penagihan,NaÃ¯ve Bayes, Autodial Asterisk, VoIP telephony",AI
38,Rany Hikmatul Hayati,Pembuatan Sistem Informasi Pengarsipan  Dokumen Untuk Sertifikasi Guru Berbasis Web Menggunakan Metode Sequential Search (Studi Kasus : Sekolah Dasar Negeri Cakung Timur 06),"Arsip merupakan sumber informasi yang memiliki fungsi penting untuk menunjang proses kegiatan administrasi dan manajemen sebuah institusi. Sekarang ini perkembangan dibidang kearsipan sangat lambat jika dikaitkan dengan perkembangan teknologi yang menawarkan berbagai fasilitas dan kemudahan. Pengelola kearsipan seharusnya memanfaatkan teknologi sebagai alat untuk mengolah  dan mengakses arsip. Pengarsipan secara manual yang masih dilakukan oleh seorang operator pada tumpukan data juga masih berlaku di Sekolah Dasar Negeri Cakung Timur 06. Metode Sequential Search adalah suatu teknik pencarian data dalam array yang akan menelusuri semua elemen-elemen array dari awal sampai akhir, dimana data-data tidak perlu diurutkan terlebih dahulu. Adapun beberapa masalah yang terdapat pada aplikasi, seperti data sertifikasi guru masih berupa lembaran kertas, dalam pengarsipan data untuk sertifikasi guru masih dilakukan secara manual, dan data lengkap untuk sertifikasi guru rentan hilang. Oleh karena itu, dibuat sebuah Sistem Informasi Pengarsipan Dokumen Untuk Sertifikasi Guru menggunakan metode Sequential Search agar mempermudah dan mempercepat operator sekolah dalam pencarian data lengkap guru untuk sertifikasi. Sistem dibuat untuk memberikan hak akses kepada Operator Sekolah, Kepala Sekolah, dan Guru. Analisis sistem menggunakan tools Flowmap dan dirancang menggunakan HIPO (Hierarchy Input Proses Output) dan Unified Modelling Language (UML) yaitu dengan Use Case, Activity, dan Sequence Diagram, serta dibuat menggunakan bahasa pemrograman PHP dengan MySQL sebagai server basis data. Hasil yang diperoleh berupa pencarian data guru dengan dua kategori yaitu guru yang akan mengikuti sertifikasi, dan guru yang akan memperpanjang sertifikasi. Diharapkan dengan adanya metode ini dapat mempermudah operator mencari data guru untuk sertifikasi. Kata Kunci : Arsip, Sekolah Dasar Negeri Cakung Timur 06, Sequential Search, Sistem Informasi Prngarsipan Dokumen Untuk Sertifikasi Guru, HIPO (Hierarchy Input Proses Outpu), UML (Unified Modelling Language). ",AI
39,Slamet Riyadi,Aplikasi Bimbingan Konseling Berbasis Android Menggunakan Metode Forward Chaining,"Bimbingan konseling merupakan mata pelajaran yang menunjang tujuan dan proses pembelajaran di setiap satuan pendidikan, mulai dari sekolah dasar hingga ke sekolah menengah atas. Termasuk siswa-siswi SMP yang memasuki fase masa remaja tahap awal. Akan tetapi banyak siswa yang malas untuk berkonsultasi disebabkan siswa beranggapan bahwa yang datang ke guru bimbingan konseling berarti menunjukan aib atau siswa yang telah berbuat salah dan mempunyai predikat-predikat negatif. Sistem Pakar dapat digunakan untuk membuat sistem aplikasi bimbingan konseling yaitu dengan menggunakan metode forward chaining. Metode ini adalah metode pelacakan kedepan, yang diawali dari fakta-fakta yang diberikanÂ kepada siswaÂ kemudian dicariÂ rule dan hasil berupa kesimpulan. output yang dikeluarkan berupa solusi sesuai dengan kategori permasalahan. hasil dari Guru BK dan hasil dari aplikasi yang menggunakan forward chaining adalah sama, maka aplikasi bimbingan konseling tercapai. Kata kunci : Bimbingan Konseling, Sistem Pakar, Metode Forward Chaining",AI
40,Eko Prastyo Nugroho,Aplikasi Suggestion System Menggunakan Metode Promethee Studi Kasus: Pt. Astra Daihatsu  Motor,"Inovasi adalah salah satu prinsip dasar dari PT. Astra Daihatsu Motor. Suggestion System (SS) merupakan salah satu cara dalam melakukan inovasi secara resmi pada PT. Astra Daihatsu Motor. Dalam sistem SS masih terdapat beberapa masalah yang sering muncul, diantaranya penyimpanan berkas formulir SS yang belum terarsip dengan baik sehingga mengakibatkan perbedaan jumlah pengumpulan antara hardcopy dan softcopy. Kesulitan dalam penilaian karena pembuatan SS yang masih manual. Tujuan penelitian yaitu membuat sistem informasi pembuatan dan penilaian SS serta menerapkan metode promethee pada sistem pengambilan keputusan. Metode promethee dalam penerapannya harus melewati beberapa tahap, yaitu tahapan menentukan alternatif yang ada dalam lingkup masalah dan akan dipilih sebagai solusi, menentukan kriteria yang akan digunakan dalam proses pengambilan keputusan, menentukan dominasi kriteria dengan memberi nilai bobot berdasarkan karakteristik tujuan dari setiap kriteria, menentukan tipe preferensi yang dipilih, membandingkan nilai bobot kriteria untuk setiap alternatif, dan pada tahap akhir yaitu menghitung nilai indeks preferensi, menentukan peringkat dengan menghitung Leaving Flow, Entering Flow serta Net Flow. Tools system untuk menganalisis sistem berjalan dan perancangan sistem usulan menggunakan UML. Database aplikasi dirancang menggunakan ERD, dan perancangan prosesnya menggunakan HIPO. Implementasi pembuatan aplikasi menggunakan bahasa pemrograman PHP, XAMPP sebagai localhost dan Mysql sebagai databasenya. Teknik pengujian Black box digunakan untuk mengetahui fungsi-fungsi yang tidak berhasil pada aplikasi. Kata kunci : analisis, inovasi, promethee, suggestion system.",AI
41,Diyniyah Haq,Sistem Informasi Pembayaran Biaya Pendidikan Pada Smk Taruna Terpadu 1 Bogor Berbasis Web Menggunakan Metode Sequential Search,"Sistem informasi merupakan aplikasi komputer yang mendukung operasional dari suatu organisasi atau lembaga. Demikian juga dengan dunia pendidikan,  dibutuhkan sistem informasi yang dapat mendukung operasional yang ada di dalamnya. Salah satu penerapan sistem informasi adalah sistem informasi pembayaran sekolah. Sistem pembayaran pada SMK Taruna Terpadu 1 masih dilakuan secara manual dengan prosedur pembayaran secara langsung ke loket pembayaran yang ada di sekolah dan proses pencatatan pembayaran yang dilakukan secara manual. Akan tetapi terkadang ada beberapa murid yang lupa membayarkan uang biaya pendidikan sehingga terjadi penunggakan dan wali murid juga terkadang tidak dapat secara langsung memperoleh informasi tentang biaya pendidikan serta tidak dapat memantau pembayaran biaya pendidikan. Untuk mengatasi hal tersebut, dibuat sebuah sistem informasi pembayaran biaya pendidikan menggunakan metode sequential search untuk pencarian data pembayaran. Sequential search digunakan untuk mencari data pembayaran berdasarkan NIS murid, dan sistem akan menampilkan riwayat pembayaran biaya pendidikan. Hasil yang diperoleh berupa laporan pembayaran biaya pendidikan. Kata Kunci : Sequential Search, Sistem Informasi Pembayaran Biaya Pendidikan, Sistem Informasi",AI
42,Dani Darmawan                                                                                                                                                         ,Aplikasi Sistem Pengambilan Keputusan Penentuan Diskon Barang Menggunakan Metode Fuzzy Tsukamoto,"Berkembangnya teknologi yang semakin modern membuat keberadaan dan kebutuhan teknologi sangat berpengaruh terhadap kegiatan masyarakat maupun instansi. Salah satu instansi adalah Bukalapak. Bukalapak merupakan marketplace terkemuka di Indonesia yang menyediakan sarana jual-beli antara produsen dengan produsen, produsen dengan konsumen maupun konsumen dengan konsumen secara online. Dalam penjualannya Bukalapak biasanya memberikan sebuah diskon untuk menarik peminat atau masyarakat untuk membeli barang pada Bukalapak. Tetapi pada proses pemberian besaran diskon barang masih dilakukan secara manual dan hasil perhitunganya kurang tepat yang terkadang membuat pelapak pada Bukalapak mengalami kerugian. Untuk mengatasi hal tersebut dibuatlah sebuah aplikasi penentuan besaran diskon (CutCount) menggunakan metode Fuzzy Tsukamoto. Metode Fuzzy Tsukamoto merupakan metode Sistem Pendukung Keputusan (SPK). Terdapat 4 kriteria yang digunakan dalam menetukan besaran diskon diantaranya adalah modal awal, harga satuan barang, stok sisa barang dan jumlah barang terjual. Hasil yang ditunjukan pada aplikasi ini berupa besaran maksimal diskon berupa persentase yang dapat dibagi menjadi 5 kategori yaitu Sangat Kecil, Kecil, Sedang, Besar dan Sangat Besar. Untuk perkembangan selanjutnya akan lebih baik jika aplikasi ini memiliki batasan kriteria Stok yang lebih besar, ditambahkan kurun waktu pada hasil penjualan dan diskon. Kata Kunci : Sitem Pendukung Keputusan (SPK), Fuzzy Tsukamoto, Bukalapak, Diskon.",AI
